DNI,Nombre,Age,Gender,Air Pollution,Alcohol use,Dust Allergy,OccuPational Hazards,Genetic Risk,chronic Lung Disease,Balanced Diet,Obesity,Smoking,Passive Smoker,Chest Pain,Coughing of Blood,Fatigue,Weight Loss,Shortness of Breath,Wheezing,Swallowing Difficulty,Clubbing of Finger Nails,Frequent Cold,Dry Cough,Snoring,Level
73385357,Ana Perez,35,2,2,1,2,1,2,1,2,3,2,4,2,1,3,4,5,1,3,2,1,2,2,Low
71465689,Juan Gomez,47,2,2,3,1,3,2,5,2,1,2,1,2,5,3,2,1,2,3,1,3,4,2,Low
70068148,Ana Diaz,24,2,1,2,2,3,2,4,2,3,2,1,1,1,1,1,1,2,3,4,5,2,1,Low
71825665,Pedro Gomez,42,1,2,1,2,3,4,3,2,1,1,1,6,2,1,1,1,2,1,2,3,1,2,Low
72745683,Carlos Perez,35,2,2,6,2,3,6,6,6,4,6,8,7,6,5,5,4,6,5,4,6,5,7,High
74056518,Luis Perez,25,2,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3,Low
72669995,Sofia Perez,27,1,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3,Low
74997895,Juan Gomez,46,2,2,1,5,3,2,3,2,4,1,4,2,4,6,7,2,5,8,1,3,2,3,Medium
76397986,Maria Diaz,22,2,2,1,3,4,3,5,3,2,6,1,1,2,3,2,1,3,2,4,2,1,1,Low
71870928,Elena Fernandez,35,1,4,5,6,5,6,5,5,5,6,6,6,5,1,4,3,2,4,6,2,4,1,Medium
74155299,Luis Garcia,38,1,2,3,5,2,1,1,1,1,4,3,2,4,2,1,3,4,6,1,3,2,2,Low
76249859,Juan Perez,62,1,3,2,1,3,2,4,5,1,6,2,3,2,4,3,2,1,2,4,2,3,2,Low
72305413,Carlos Rodriguez,28,1,6,7,8,7,6,7,7,2,4,3,7,8,2,3,6,4,2,3,1,2,1,Low
73910197,Maria Martinez,22,2,2,1,3,4,3,5,3,2,6,1,1,2,3,2,1,3,2,4,2,1,1,Low
75558019,Lucia Garcia,47,2,2,3,1,3,2,5,2,1,2,1,2,5,3,2,1,2,3,1,3,4,2,Low
75414709,Elena Garcia,61,1,2,3,4,2,1,1,2,4,3,2,1,5,2,1,3,2,1,3,2,1,2,Low
70271836,Pedro Diaz,39,1,4,5,6,6,5,4,6,6,6,6,6,6,5,3,2,4,3,1,7,5,6,Medium
73584702,Pedro Lopez,27,1,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3,Low
77281369,Sofia Lopez,44,1,1,2,3,4,2,4,3,3,3,2,3,4,4,1,2,4,6,5,4,2,5,Medium
72299435,Juan Fernandez,28,1,6,7,8,7,6,7,7,2,4,3,7,8,2,3,6,4,2,3,1,2,1,Low
78585377,Elena Garcia,35,2,2,6,2,3,6,6,6,4,6,8,7,6,5,5,4,6,5,4,6,5,7,High
72658505,Luis Diaz,27,1,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3,Low
71271741,Maria Rodriguez,45,1,6,7,7,7,7,6,7,7,4,8,7,7,4,4,5,6,5,5,4,6,5,High
73769315,Elena Lopez,62,1,3,2,1,3,2,4,5,1,6,2,3,2,4,3,2,1,2,4,2,3,2,Low
71046797,Juan Perez,28,1,6,7,8,7,6,7,7,2,4,3,7,8,2,3,6,4,2,3,1,2,1,Low
73047262,Elena Garcia,26,1,2,3,1,4,3,2,3,4,3,1,4,3,1,2,3,4,5,1,2,3,4,Low
79973006,Carlos Diaz,32,1,1,6,7,5,3,2,6,2,3,3,2,2,3,3,7,7,4,8,7,7,5,Medium
70564685,Ana Lopez,48,1,4,2,3,2,1,2,3,2,1,5,1,4,2,6,1,2,4,2,1,2,3,Low
72879190,Lucia Lopez,22,1,6,8,7,7,7,6,2,4,1,2,4,3,2,7,6,5,1,9,3,4,2,Medium
75596411,Carlos Diaz,33,1,3,2,4,2,3,2,3,3,2,2,3,3,4,5,6,5,5,4,6,5,4,Medium
79700344,Pedro Diaz,46,1,6,8,7,7,7,6,7,7,8,7,7,9,3,2,4,1,4,2,4,2,3,High
71007293,Miguel Perez,38,2,6,8,7,7,7,6,2,4,1,2,4,3,2,7,6,5,1,9,3,4,2,Medium
74774183,Sofia Garcia,32,1,2,3,6,7,7,7,7,2,4,3,7,4,2,1,3,2,2,1,2,5,1,Low
73366612,Pedro Gomez,33,1,2,4,5,4,3,2,2,4,3,2,2,4,3,4,2,2,3,1,2,3,4,Low
78411855,Sofia Perez,38,2,5,2,3,1,2,3,5,2,2,5,1,3,1,1,1,1,1,3,2,4,2,Low
75267180,Miguel Perez,29,2,6,7,7,7,7,6,7,7,7,7,7,7,2,7,6,7,6,7,2,3,1,High
77807313,Maria Fernandez,35,1,1,3,2,4,2,6,2,2,2,1,3,4,4,2,2,2,3,2,1,2,4,Low
72704238,Lucia Lopez,48,2,1,6,7,8,7,6,7,7,3,4,8,7,3,2,6,4,2,3,1,2,1,Medium
72630708,Pedro Diaz,23,2,4,2,3,4,2,3,2,4,2,4,2,4,1,3,4,2,4,2,4,3,1,Low
73494679,Lucia Garcia,34,1,6,7,7,7,6,7,7,7,7,7,7,8,4,2,3,1,4,5,6,7,5,High
75517209,Miguel Diaz,42,1,2,1,2,3,4,3,2,1,1,1,6,2,1,1,1,2,1,2,3,1,2,Low
71767640,Juan Gomez,28,2,1,6,7,5,3,2,6,2,3,3,2,2,3,3,7,7,4,8,7,7,5,Medium
76723771,Juan Garcia,17,1,3,1,5,3,4,2,2,2,2,4,2,3,1,3,7,8,6,2,1,7,2,Medium
71285160,Luis Martinez,23,2,4,2,3,4,2,3,2,4,2,4,2,4,1,3,4,2,4,2,4,3,1,Low
76080526,Pedro Perez,18,2,3,2,1,3,2,1,3,2,1,2,2,2,2,2,1,3,4,4,1,4,1,Low
75173036,Miguel Lopez,23,2,4,2,3,4,2,3,2,4,2,4,2,4,1,3,4,2,4,2,4,3,1,Low
71425472,Carlos Garcia,25,2,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3,Low
70048984,Carlos Diaz,55,1,3,1,1,1,2,3,4,1,3,2,4,3,2,5,2,1,2,3,4,5,2,Low
76556168,Sofia Rodriguez,23,2,4,2,3,4,2,3,2,4,2,4,2,4,1,3,4,2,4,2,4,3,1,Low
71504384,Sofia Perez,52,2,3,2,1,2,3,5,1,2,7,2,1,1,1,1,1,3,2,3,2,3,3,Low
72230919,Sofia Diaz,35,2,2,6,2,3,6,6,6,4,6,8,7,6,5,5,4,6,5,4,6,5,7,High
76940119,Juan Garcia,26,2,7,7,7,7,7,6,7,7,7,7,7,7,2,7,6,7,6,7,2,3,1,High
71737095,Ana Rodriguez,19,1,3,2,4,2,3,2,3,3,2,2,3,3,4,5,6,5,5,4,6,5,4,Medium
74780450,Sofia Diaz,39,2,6,8,7,7,7,6,7,7,8,7,7,9,3,2,4,1,4,2,4,2,3,High
77469344,Carlos Garcia,38,2,1,2,3,4,2,4,3,3,3,2,3,4,4,1,2,4,6,5,4,2,5,Medium
72109818,Miguel Lopez,33,1,2,4,5,4,3,2,2,4,3,2,2,4,3,4,2,2,3,1,2,3,4,Low
72231785,Miguel Martinez,23,1,3,2,4,2,3,2,3,3,2,2,3,3,4,5,6,5,5,4,6,5,4,Medium
73853339,Maria Garcia,19,1,3,2,4,2,3,2,3,3,2,2,3,3,4,5,6,5,5,4,6,5,4,Medium
79467719,Maria Gomez,45,1,1,2,4,5,6,5,5,4,6,4,7,2,3,8,7,3,8,3,2,3,1,Low
70996107,Elena Lopez,18,2,6,8,7,7,7,6,7,7,8,7,7,9,3,2,4,1,4,2,4,2,3,High
77130144,Miguel Diaz,35,1,1,3,2,4,2,6,2,2,2,1,3,4,4,2,2,2,3,2,1,2,4,Low
70766821,Ricardo Castro,70,2,1,5,4,4,4,5,3,4,1,1,4,2,5,6,3,4,4,5,4,3,2,High
78263368,Teresa Vargas,38,2,5,5,4,1,1,2,3,2,1,2,2,5,5,5,7,3,6,7,6,5,1,Low
70531871,Carmen Castro,23,2,2,7,7,4,5,3,4,3,6,5,2,3,6,7,2,2,6,7,1,4,6,High
74645081,Camila Torres,61,2,3,5,5,5,7,3,4,3,6,2,2,5,1,5,6,5,5,4,2,4,2,Low
70835088,Ricardo Silva,35,1,4,1,4,5,1,3,5,4,6,6,6,3,1,4,6,6,5,3,1,3,3,Medium
72996205,Camila Navarro,49,2,7,7,7,7,2,2,5,1,3,3,7,2,1,7,3,5,4,3,2,2,6,Medium
76870645,Valeria Rios,72,1,1,5,5,1,3,4,2,1,7,6,6,1,4,2,5,5,4,7,3,6,3,High
79265928,Teresa Navarro,60,1,2,4,7,7,6,3,7,1,1,1,3,6,6,7,4,7,2,6,6,5,7,Low
70811184,Isabella Castro,60,2,3,5,5,7,7,4,6,2,5,7,1,6,3,3,6,3,7,1,1,4,2,Medium
75547586,Carmen Castro,42,2,7,2,7,5,4,4,2,6,7,4,5,1,2,1,5,4,4,7,3,3,3,Medium
