DNI,Nombre,Age,Gender,Air Pollution,Alcohol use,Dust Allergy,OccuPational Hazards,Genetic Risk,chronic Lung Disease,Balanced Diet,Obesity,Smoking,Passive Smoker,Chest Pain,Coughing of Blood,Fatigue,Weight Loss,Shortness of Breath,Wheezing,Swallowing Difficulty,Clubbing of Finger Nails,Frequent Cold,Dry Cough,Snoring
76019877,Ana Martinez,19,1,6,8,7,7,7,6,7,7,7,8,7,7,9,6,5,7,2,4,3,1,4
73344769,Ana Rodriguez,61,1,2,3,4,2,1,1,2,4,3,2,1,5,2,1,3,2,1,3,2,1,2
79180351,Luis Fernandez,65,1,6,8,7,7,7,6,2,4,1,2,4,3,2,7,6,5,1,9,3,4,2
70103355,Pedro Martinez,24,1,2,4,5,6,5,5,4,6,5,4,6,5,5,3,2,1,4,7,2,1,6
71262752,Ana Martinez,22,2,2,1,3,4,3,5,3,2,6,1,1,2,3,2,1,3,2,4,2,1,1
79784633,Pedro Lopez,42,1,2,1,2,3,4,3,2,1,1,1,6,2,1,1,1,2,1,2,3,1,2
75664789,Carlos Rodriguez,44,1,2,3,2,1,3,2,1,2,7,6,2,2,2,2,3,2,1,2,3,2,3
79695979,Maria Gomez,19,1,6,8,7,7,7,6,7,7,7,8,7,7,9,6,5,7,2,4,3,1,4
79305648,Miguel Martinez,42,1,2,1,2,3,4,3,2,1,1,1,6,2,1,1,1,2,1,2,3,1,2
75743066,Elena Diaz,44,1,2,3,2,1,3,2,1,2,7,6,2,2,2,2,3,2,1,2,3,2,3
76113790,Ana Rodriguez,22,1,6,8,7,7,7,6,2,4,1,2,4,3,2,7,6,5,1,9,3,4,2
74721339,Lucia Fernandez,42,1,2,1,2,3,4,3,2,1,1,1,6,2,1,1,1,2,1,2,3,1,2
79889550,Miguel Fernandez,35,2,2,1,2,1,2,1,2,3,2,4,2,1,3,4,5,1,3,2,1,2,2
73275709,Juan Perez,44,1,6,7,7,7,7,6,7,7,7,8,7,7,5,3,2,7,8,2,4,5,3
70084654,Miguel Lopez,25,2,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3
75147581,Miguel Diaz,22,1,6,8,7,7,7,6,2,4,1,2,4,3,2,7,6,5,1,9,3,4,2
71954354,Miguel Lopez,55,1,3,1,1,1,2,3,4,1,3,2,4,3,2,5,2,1,2,3,4,5,2
78242680,Pedro Rodriguez,45,2,1,2,4,5,6,5,5,4,6,4,7,2,3,8,7,3,8,3,2,3,1
72428388,Sofia Lopez,25,2,4,5,6,5,5,4,6,7,2,3,4,8,8,7,9,2,1,4,6,7,2
78916786,Miguel Rodriguez,38,2,5,2,3,1,2,3,5,2,2,5,1,3,1,1,1,1,1,3,2,4,2
72663046,Luis Perez,33,1,6,7,7,7,7,7,6,7,7,7,7,7,8,5,7,6,7,8,7,6,2
75499720,Carlos Gomez,45,2,1,2,4,5,6,5,5,4,6,4,7,2,3,8,7,3,8,3,2,3,1
76640913,Sofia Fernandez,44,1,1,2,3,4,2,4,3,3,3,2,3,4,4,1,2,4,6,5,4,2,5
73416664,Elena Garcia,33,1,3,2,4,2,3,2,3,3,2,2,3,3,4,5,6,5,5,4,6,5,4
73385659,Sofia Perez,23,2,4,2,3,4,2,3,2,4,2,4,2,4,1,3,4,2,4,2,4,3,1
73385357,Ana Perez,35,2,2,1,2,1,2,1,2,3,2,4,2,1,3,4,5,1,3,2,1,2,2
71465689,Juan Gomez,47,2,2,3,1,3,2,5,2,1,2,1,2,5,3,2,1,2,3,1,3,4,2
70068148,Ana Diaz,24,2,1,2,2,3,2,4,2,3,2,1,1,1,1,1,1,2,3,4,5,2,1
71825665,Pedro Gomez,42,1,2,1,2,3,4,3,2,1,1,1,6,2,1,1,1,2,1,2,3,1,2
72745683,Carlos Perez,35,2,2,6,2,3,6,6,6,4,6,8,7,6,5,5,4,6,5,4,6,5,7
74056518,Luis Perez,25,2,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3
72669995,Sofia Perez,27,1,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3
74997895,Juan Gomez,46,2,2,1,5,3,2,3,2,4,1,4,2,4,6,7,2,5,8,1,3,2,3
76397986,Maria Diaz,22,2,2,1,3,4,3,5,3,2,6,1,1,2,3,2,1,3,2,4,2,1,1
71870928,Elena Fernandez,35,1,4,5,6,5,6,5,5,5,6,6,6,5,1,4,3,2,4,6,2,4,1
74155299,Luis Garcia,38,1,2,3,5,2,1,1,1,1,4,3,2,4,2,1,3,4,6,1,3,2,2
76249859,Juan Perez,62,1,3,2,1,3,2,4,5,1,6,2,3,2,4,3,2,1,2,4,2,3,2
72305413,Carlos Rodriguez,28,1,6,7,8,7,6,7,7,2,4,3,7,8,2,3,6,4,2,3,1,2,1
73910197,Maria Martinez,22,2,2,1,3,4,3,5,3,2,6,1,1,2,3,2,1,3,2,4,2,1,1
75558019,Lucia Garcia,47,2,2,3,1,3,2,5,2,1,2,1,2,5,3,2,1,2,3,1,3,4,2
75414709,Elena Garcia,61,1,2,3,4,2,1,1,2,4,3,2,1,5,2,1,3,2,1,3,2,1,2
70271836,Pedro Diaz,39,1,4,5,6,6,5,4,6,6,6,6,6,6,5,3,2,4,3,1,7,5,6
73584702,Pedro Lopez,27,1,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3
77281369,Sofia Lopez,44,1,1,2,3,4,2,4,3,3,3,2,3,4,4,1,2,4,6,5,4,2,5
72299435,Juan Fernandez,28,1,6,7,8,7,6,7,7,2,4,3,7,8,2,3,6,4,2,3,1,2,1
78585377,Elena Garcia,35,2,2,6,2,3,6,6,6,4,6,8,7,6,5,5,4,6,5,4,6,5,7
72658505,Luis Diaz,27,1,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3
71271741,Maria Rodriguez,45,1,6,7,7,7,7,6,7,7,4,8,7,7,4,4,5,6,5,5,4,6,5
73769315,Elena Lopez,62,1,3,2,1,3,2,4,5,1,6,2,3,2,4,3,2,1,2,4,2,3,2
71046797,Juan Perez,28,1,6,7,8,7,6,7,7,2,4,3,7,8,2,3,6,4,2,3,1,2,1
73047262,Elena Garcia,26,1,2,3,1,4,3,2,3,4,3,1,4,3,1,2,3,4,5,1,2,3,4
79973006,Carlos Diaz,32,1,1,6,7,5,3,2,6,2,3,3,2,2,3,3,7,7,4,8,7,7,5
70564685,Ana Lopez,48,1,4,2,3,2,1,2,3,2,1,5,1,4,2,6,1,2,4,2,1,2,3
72879190,Lucia Lopez,22,1,6,8,7,7,7,6,2,4,1,2,4,3,2,7,6,5,1,9,3,4,2
75596411,Carlos Diaz,33,1,3,2,4,2,3,2,3,3,2,2,3,3,4,5,6,5,5,4,6,5,4
79700344,Pedro Diaz,46,1,6,8,7,7,7,6,7,7,8,7,7,9,3,2,4,1,4,2,4,2,3
71007293,Miguel Perez,38,2,6,8,7,7,7,6,2,4,1,2,4,3,2,7,6,5,1,9,3,4,2
74774183,Sofia Garcia,32,1,2,3,6,7,7,7,7,2,4,3,7,4,2,1,3,2,2,1,2,5,1
73366612,Pedro Gomez,33,1,2,4,5,4,3,2,2,4,3,2,2,4,3,4,2,2,3,1,2,3,4
78411855,Sofia Perez,38,2,5,2,3,1,2,3,5,2,2,5,1,3,1,1,1,1,1,3,2,4,2
75267180,Miguel Perez,29,2,6,7,7,7,7,6,7,7,7,7,7,7,2,7,6,7,6,7,2,3,1
77807313,Maria Fernandez,35,1,1,3,2,4,2,6,2,2,2,1,3,4,4,2,2,2,3,2,1,2,4
72704238,Lucia Lopez,48,2,1,6,7,8,7,6,7,7,3,4,8,7,3,2,6,4,2,3,1,2,1
72630708,Pedro Diaz,23,2,4,2,3,4,2,3,2,4,2,4,2,4,1,3,4,2,4,2,4,3,1
73494679,Lucia Garcia,34,1,6,7,7,7,6,7,7,7,7,7,7,8,4,2,3,1,4,5,6,7,5
75517209,Miguel Diaz,42,1,2,1,2,3,4,3,2,1,1,1,6,2,1,1,1,2,1,2,3,1,2
71767640,Juan Gomez,28,2,1,6,7,5,3,2,6,2,3,3,2,2,3,3,7,7,4,8,7,7,5
76723771,Juan Garcia,17,1,3,1,5,3,4,2,2,2,2,4,2,3,1,3,7,8,6,2,1,7,2
71285160,Luis Martinez,23,2,4,2,3,4,2,3,2,4,2,4,2,4,1,3,4,2,4,2,4,3,1
76080526,Pedro Perez,18,2,3,2,1,3,2,1,3,2,1,2,2,2,2,2,1,3,4,4,1,4,1
75173036,Miguel Lopez,23,2,4,2,3,4,2,3,2,4,2,4,2,4,1,3,4,2,4,2,4,3,1
71425472,Carlos Garcia,25,2,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3
70048984,Carlos Diaz,55,1,3,1,1,1,2,3,4,1,3,2,4,3,2,5,2,1,2,3,4,5,2
76556168,Sofia Rodriguez,23,2,4,2,3,4,2,3,2,4,2,4,2,4,1,3,4,2,4,2,4,3,1
71504384,Sofia Perez,52,2,3,2,1,2,3,5,1,2,7,2,1,1,1,1,1,3,2,3,2,3,3
72230919,Sofia Diaz,35,2,2,6,2,3,6,6,6,4,6,8,7,6,5,5,4,6,5,4,6,5,7
76940119,Juan Garcia,26,2,7,7,7,7,7,6,7,7,7,7,7,7,2,7,6,7,6,7,2,3,1
71737095,Ana Rodriguez,19,1,3,2,4,2,3,2,3,3,2,2,3,3,4,5,6,5,5,4,6,5,4
74780450,Sofia Diaz,39,2,6,8,7,7,7,6,7,7,8,7,7,9,3,2,4,1,4,2,4,2,3
77469344,Carlos Garcia,38,2,1,2,3,4,2,4,3,3,3,2,3,4,4,1,2,4,6,5,4,2,5
72109818,Miguel Lopez,33,1,2,4,5,4,3,2,2,4,3,2,2,4,3,4,2,2,3,1,2,3,4
72231785,Miguel Martinez,23,1,3,2,4,2,3,2,3,3,2,2,3,3,4,5,6,5,5,4,6,5,4
73853339,Maria Garcia,19,1,3,2,4,2,3,2,3,3,2,2,3,3,4,5,6,5,5,4,6,5,4
79467719,Maria Gomez,45,1,1,2,4,5,6,5,5,4,6,4,7,2,3,8,7,3,8,3,2,3,1
70996107,Elena Lopez,18,2,6,8,7,7,7,6,7,7,8,7,7,9,3,2,4,1,4,2,4,2,3
77130144,Miguel Diaz,35,1,1,3,2,4,2,6,2,2,2,1,3,4,4,2,2,2,3,2,1,2,4
70766821,Ricardo Castro,70,2,1,5,4,4,4,5,3,4,1,1,4,2,5,6,3,4,4,5,4,3,2
78263368,Teresa Vargas,38,2,5,5,4,1,1,2,3,2,1,2,2,5,5,5,7,3,6,7,6,5,1
70531871,Carmen Castro,23,2,2,7,7,4,5,3,4,3,6,5,2,3,6,7,2,2,6,7,1,4,6
74645081,Camila Torres,61,2,3,5,5,5,7,3,4,3,6,2,2,5,1,5,6,5,5,4,2,4,2
70835088,Ricardo Silva,35,1,4,1,4,5,1,3,5,4,6,6,6,3,1,4,6,6,5,3,1,3,3
72996205,Camila Navarro,49,2,7,7,7,7,2,2,5,1,3,3,7,2,1,7,3,5,4,3,2,2,6
76870645,Valeria Rios,72,1,1,5,5,1,3,4,2,1,7,6,6,1,4,2,5,5,4,7,3,6,3
79265928,Teresa Navarro,60,1,2,4,7,7,6,3,7,1,1,1,3,6,6,7,4,7,2,6,6,5,7
70811184,Isabella Castro,60,2,3,5,5,7,7,4,6,2,5,7,1,6,3,3,6,3,7,1,1,4,2
75547586,Carmen Castro,42,2,7,2,7,5,4,4,2,6,7,4,5,1,2,1,5,4,4,7,3,3,3
